,maze,run,trial,start_loc,goal_loc,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,mazeOrder,landmarkID,goalLM
42,1.0,5,3,4,2,cue13,265.99410223900003,85.99410223870001,correct,2.377651797,49.8,-2.378389014,1535.181,1552.7910000000002,17.61,1533.4520000000002,1535.181,UP_SELECTION,265.9941022,1.729,HSR02,1,2,landmark8B
43,1.0,5,4,2,5,cue18,80.0089957311,260.00899573099997,incorrect,4.69160547,37.8,-4.732823252,1568.5220000000002,1582.565,14.043,1559.7820000000002,1568.5220000000002,UP_SELECTION,80.00899573,8.74,HSR02,1,5,landmark11B
44,1.0,5,5,5,1,cue3,217.757113597,37.7571135965,incorrect,30.70059003,54.5,31.88619065,1614.842,1651.9520000000002,37.11,1596.0620000000001,1614.842,DOWN_SELECTION,37.7571136,18.78,HSR02,1,1,landmark1B
45,1.0,5,6,1,2,cue13,107.54615843799999,-72.4538415622,correct,3.617613907,16.3,-3.619028316,1666.922,1674.066,7.144,1665.4260000000002,1666.922,DOWN_SELECTION,-72.45384156,1.496,HSR02,1,2,landmark4B
46,1.0,5,7,2,3,cue9,80.0089957311,260.00899573099997,incorrect,5.681110746,20.1,-5.75132649,1682.5220000000002,1692.182,9.66,1681.0620000000001,1682.5220000000002,UP_SELECTION,260.0089957,1.46,HSR02,1,3,landmark7B
47,1.0,5,8,3,1,cue3,-38.0101345438,141.989865456,incorrect,35.30773607,0.0,-45.77029755,1729.8220000000001,1731.214,1.392,1705.612,1729.8220000000001,UP_SELECTION,-38.01013454,24.21,HSR02,1,1,landmark1B
48,1.0,5,9,1,5,cue18,107.54615843799999,-72.4538415622,tooLong,0.234776183,89.7,67.08619065,1749.0020000000002,1791.152,42.15,1744.692,1749.0020000000002,DOWN_SELECTION,-72.45384156,4.31,HSR02,1,5,landmark11B
49,1.0,5,10,5,3,cue9,217.757113597,37.7571135965,correct,0.20512461,43.9,0.205136795,1800.642,1818.102,17.46,1798.12,1800.642,DOWN_SELECTION,217.7571136,2.522,HSR02,1,3,landmark4B
50,1.0,6,1,1,4,cue8,107.54615843799999,-72.4538415622,correct,0.9662465509999999,40.9,0.918464429,1852.2520000000002,1883.726,31.474,1847.361,1852.2520000000002,UP_SELECTION,107.54615840000001,4.891,HSR02,1,4,landmark8B
51,1.0,6,2,4,3,cue9,265.99410223900003,85.99410223870001,correct,1.825236951,24.5,-1.827135956,1894.642,1904.756,10.113999999999999,1890.713,1894.642,UP_SELECTION,265.9941022,3.929,HSR02,1,3,landmark7B
52,1.0,6,3,3,2,cue13,-38.0101345438,141.989865456,correct,2.64987101,23.2,-2.65132649,1915.612,1924.852,9.24,1911.682,1915.612,UP_SELECTION,-38.01013454,3.93,HSR02,1,2,landmark4B
53,1.0,6,4,2,4,cue8,80.0089957311,260.00899573099997,incorrect,6.873869605,45.3,-6.878389014,1936.852,1953.0320000000002,16.18,1931.8329999999999,1936.852,DOWN_SELECTION,260.0089957,5.019,HSR02,1,4,landmark11B
54,1.0,6,5,4,5,cue18,265.99410223900003,85.99410223870001,correct,0.267768507,17.1,-0.267708483,1992.6529999999998,1999.7520000000002,7.099,1966.515,1992.6529999999998,DOWN_SELECTION,85.99410224,26.138,HSR02,1,5,landmark7B
55,1.0,6,6,5,2,cue13,217.757113597,37.7571135965,correct,3.4314104289999996,39.1,-3.432823252,2012.2620000000002,2026.412,14.15,2006.767,2012.2620000000002,UP_SELECTION,37.7571136,5.495,HSR02,1,2,landmark8B
56,1.0,6,7,2,1,cue3,80.0089957311,260.00899573099997,incorrect,4.415205606000001,15.5,-4.419028316,2039.912,2046.233,6.321000000000001,2033.3629999999998,2039.912,DOWN_SELECTION,80.00899573,6.5489999999999995,HSR02,1,1,landmark1B
57,1.0,6,8,1,3,cue9,107.54615843799999,-72.4538415622,incorrect,4.9276034310000005,40.8,-4.970297549,2062.1020000000003,2077.486,15.384,2059.695,2062.1020000000003,DOWN_SELECTION,-72.45384156,2.407,HSR02,1,3,landmark7B
58,1.0,6,9,3,4,cue8,-38.0101345438,141.989865456,incorrect,7.521093181,50.2,23.87286404,2096.973,2121.433,24.46,2090.973,2096.973,UP_SELECTION,-38.01013454,6.0,HSR02,1,4,landmark11B
59,1.0,6,10,4,1,cue3,265.99410223900003,85.99410223870001,incorrect,19.1136289,18.2,-21.78153557,2145.833,2160.4429999999998,14.61,2134.9120000000003,2145.833,UP_SELECTION,265.9941022,10.921,HSR02,1,1,landmark8B
