subID,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR32,6,3,4,9,cue3,correct,1.650086297,68.2,-1.547023103,4.644,across,2,3,1,1,1
HSR32,6,4,9,2,cue20,tooLong,1.085680824,101.4,9.195640077,31.534,across,3,4,1,1,1
HSR32,6,5,2,8,cue7,tooLong,1.179036479,90.5,25.26178618,0.99,across,3,3,0,0,1
HSR32,6,6,8,6,cue8,correct,2.682432754,36.2,-2.685937713,1.11,within,1,2,1,1,1
HSR32,6,7,6,14,cue10,tooLong,1.059237232,86.6,18.31796175,4.445,across,3,3,1,1,1
HSR32,6,8,14,11,cue22,tooLong,1.386534104,68.7,26.70852823,1.14,within,1,2,1,0,1
HSR32,6,9,11,5,cue12,correct,1.663021849,47,-1.664311091,1.117,across,3,2,1,1,1
HSR32,6,10,5,3,cue4,correct,0.274510264,47,-0.274638817,1.717,within,1,2,1,1,1
HSR32,7,1,3,9,cue3,tooLong,1.886102664,90.5,18.88421262,2.654,across,3,3,0,0,1
HSR32,7,2,9,12,cue21,correct,2.726057993,44.6,-2.72680492,3.278,across,2,2,1,1,1
HSR32,7,3,12,4,cue13,correct,1.243172454,33,4.645368412,1.16,across,2,2,1,1,1
HSR32,7,4,4,1,cue2,correct,0.500128244,45.2,0.500151255,1.301,within,1,2,1,1,1
HSR32,7,5,1,10,cue5,correct,0.690797063,59.8,3.246179235,1.044,across,2,2,1,1,1
HSR32,7,6,10,11,cue22,tooLong,2.300047602,76,23.29218311,1.32,across,2,2,1,0,1
HSR32,7,7,11,4,cue13,correct,0.565949559,58.4,5.368133816,1.403,across,2,3,1,1,1
HSR32,7,8,4,8,cue7,correct,0.96202303,53.1,2.929448434,1.2,across,2,3,1,1,1
HSR32,7,9,8,2,cue20,tooLong,1.479860542,85,19.76178618,1.408,across,3,3,0,0,1
HSR32,7,10,2,9,cue3,tooLong,0.345999096,113.1,20.89554008,6.441,across,2,4,1,0,1
HSR32,11,1,15,5,cue12,correct,2.198230232,65.1,-2.181140067,1.352,across,3,3,1,1,1
HSR32,11,2,5,3,cue4,correct,0.224521049,47.05,-0.224638817,4.281,within,1,2,1,1,1
HSR32,11,3,3,7,cue6,correct,0.748277802,58,4.066081663,1.071,across,2,3,1,1,1
HSR32,11,4,7,10,cue5,incorrect,33.21454372,17.2,-32.21161757,7.438,within,1,2,1,0,0
HSR32,11,5,10,14,cue10,tooLong,0.721564079,102.8,8.100661059,7.419,across,3,4,1,1,1
HSR32,11,6,14,9,cue3,tooLong,1.686125464,113.9,37.0207183,2.269,across,2,3,0,0,1
HSR32,11,7,9,12,cue21,correct,2.626103803,44.7,-2.62680492,1.322,across,2,2,1,1,1
HSR32,11,8,12,4,cue13,tooLong,1.300493552,49.3,20.94536841,1.624,across,2,2,1,1,1
HSR32,11,9,4,1,cue2,correct,0.200123098,44.9,0.200151255,1.3,within,1,2,1,1,1
HSR32,11,10,1,11,cue22,correct,0.801293823,67.8,0.119260699,1.103,across,3,3,1,1,1
HSR32,12,1,11,13,cue14,tooLong,2.328984247,58.2,10.08654207,2.128,within,1,2,0,0,1
HSR32,12,2,13,6,cue8,correct,2.112118506,49.5,2.217717909,1.141,across,3,2,1,1,1
HSR32,12,3,6,8,cue7,correct,0.086000759,38.8,-0.086037713,0.44,within,1,2,1,1,1
HSR32,12,4,8,2,cue20,tooLong,1.080043334,85.4,20.16178618,1.809,across,3,3,0,0,1
HSR32,12,5,2,15,cue18,tooLong,0.194012445,98.5,20.33700908,1.127,across,2,3,1,0,1
HSR32,12,6,15,5,cue12,correct,0.901057887,67,-0.281140067,3.088,across,3,3,1,1,1
HSR32,12,7,5,3,cue4,correct,0.474492268,46.8,-0.474638817,4.447,within,1,2,1,1,1
HSR32,12,8,3,7,cue6,incorrect,4.633984488,61.6,7.666081663,1.112,across,2,3,1,1,1
HSR32,12,9,7,10,cue5,correct,0.811253766,48.6,-0.811617568,0.724,within,1,2,1,1,1
HSR32,12,10,10,14,cue10,tooLong,0.434140198,115.25,20.55066106,0.896,across,3,4,1,0,1
HSR33,4,1,15,6,cue8,incorrect,60.17231983,20.6,-50.33358516,1.226,across,2,3,0,0,0
HSR33,4,2,6,14,cue19,incorrect,34.68018942,40.2,-34.16951939,1.19,across,3,3,0,0,0
HSR33,4,3,14,1,cue20,incorrect,38.11903308,144.1,66.94370303,5.896,across,2,3,0,0,0
HSR33,4,4,1,4,cue10,incorrect,21.73562054,20.7,-22.77543439,1.786,within,1,2,1,0,1
HSR33,4,5,4,14,cue19,tooLong,0.272567256,107.3,58.26793698,1.42,across,2,2,1,0,1
HSR33,4,6,14,6,cue8,tooLong,1.708790823,228.4,153.0561806,2.97,across,3,3,0,0,1
HSR33,4,7,6,9,cue12,correct,0.489750116,41.1,0.490040738,2.81,within,1,2,1,1,1
HSR33,4,8,9,1,cue20,incorrect,18.54818627,107.9,32.48409622,5.806,across,2,3,0,0,0
HSR33,4,9,1,15,cue3,incorrect,38.53750943,649.6,559.3132764,1.745,across,2,4,0,0,0
HSR33,4,10,15,12,cue11,tooLong,0.85586816,68.5,24.06518174,2.056,within,1,2,1,0,1
HSR33,5,1,12,5,cue2,tooLong,0.858557231,173.9,119.3528419,3.78,across,3,3,0,0,1
HSR33,5,2,5,2,cue9,incorrect,54.51526714,51.4,8.2106029,1.25,within,1,2,0,0,0
HSR33,5,3,2,8,cue14,tooLong,1.167503224,155.6,90.71517924,1.72,across,3,3,0,0,1
HSR33,5,4,8,3,cue22,tooLong,0.758257495,84.1,41.20927574,1.834,across,3,2,0,0,1
HSR33,5,5,3,7,cue18,tooLong,2.917213521,85,33.48472233,1.413,across,2,3,1,0,1
HSR33,5,6,7,10,cue4,tooLong,0.503401691,64.7,17.82441913,7.62,within,1,2,1,0,1
HSR33,5,7,10,13,cue7,tooLong,2.636925553,147.1,74.60412093,1.52,across,3,3,0,0,1
HSR33,5,8,13,11,cue17,incorrect,28.55119055,39.2,-2.857180254,1.14,within,1,2,0,0,0
HSR33,5,9,11,4,cue10,incorrect,35.68661232,45,-5.064492818,1.08,across,2,3,0,0,0
HSR33,5,10,4,8,cue14,tooLong,3.601988193,176.9,129.8906707,2.503,across,2,3,0,0,1
HSR33,6,1,8,10,cue4,tooLong,1.183502889,66,21.06639137,1.13,within,1,2,1,0,1
HSR33,6,2,10,13,cue7,tooLong,0.980047442,87,14.50412093,4.07,across,3,3,0,0,1
HSR33,6,3,13,15,cue3,incorrect,56.02923551,47,0.770866403,2.46,within,1,2,0,0,0
HSR33,6,4,15,1,cue20,incorrect,56.02755649,21.1,-70.10762362,1.79,across,3,4,0,0,0
HSR33,6,5,1,11,cue17,correct,1.284144372,68.7,2.205966289,1.207,across,3,3,1,1,1
HSR33,6,6,11,5,cue2,correct,3.992773265,45,-1.059147655,2.234,across,3,2,1,1,1
HSR33,6,7,5,12,cue11,incorrect,33.20172301,41.2,-12.59678387,14.274,across,2,3,0,0,0
HSR33,6,8,12,14,cue19,incorrect,35.30182567,21.8,-24.54812676,1.196,within,1,2,1,0,0
HSR33,6,9,14,7,cue18,incorrect,11.92023328,49,-19.41345882,1.69,across,2,3,0,0,0
HSR33,6,10,7,9,cue12,incorrect,56.1168174,226.8,179.1470781,3.026,within,1,2,0,0,0
HSR33,7,1,9,3,cue22,tooLong,0.365155764,109.1,38.82612932,1.156,across,3,3,0,0,1
HSR33,7,2,3,6,cue8,incorrect,5.570864443,65.4,15.28680914,2.05,across,2,2,0,0,0
HSR33,7,3,6,14,cue19,incorrect,63.33058279,23.8,-50.56951939,1.097,across,3,3,0,0,0
HSR33,7,4,14,9,cue12,tooLong,0.82856824,141.9,65.49140506,16.243,across,2,3,0,0,1
HSR33,7,5,9,7,cue18,correct,2.746603069,50.4,2.747078108,2.22,within,1,2,1,1,1
HSR33,7,6,7,15,cue3,incorrect,55.80436879,21.4,-25.71752887,2.22,across,2,2,0,0,0
HSR33,7,7,15,1,cue20,incorrect,56.02755649,21.1,-70.10762362,1.63,across,3,4,0,0,0
HSR33,7,8,1,3,cue22,incorrect,4.359906296,70.9,27.07219642,0.85,within,1,2,1,0,1
HSR33,7,9,3,8,cue14,incorrect,51.15213209,43.2,0.309275738,4.401,across,3,2,0,0,0
HSR33,7,10,8,2,cue9,incorrect,35.54505933,16.9,-47.98482076,1.15,across,3,3,0,0,0
HSR33,11,1,2,4,cue10,incorrect,25.16587882,20.5,-26.26983098,0.889,within,1,2,1,0,0
HSR33,11,2,4,9,cue12,incorrect,56.16196339,24.7,-41.24746289,1.077,across,2,3,0,0,0
HSR33,11,3,9,5,cue2,incorrect,42.89525043,23.5,-30.56021773,2.2,across,2,2,0,0,0
HSR33,11,4,5,12,cue11,incorrect,15.5342891,19,-34.79678387,7.63,across,2,3,0,0,0
HSR33,11,5,12,6,cue8,incorrect,44.20708762,22.1,-33.69943147,1.8,across,2,3,0,0,0
HSR33,11,6,6,14,cue19,incorrect,63.47291003,23.4,-50.96951939,2.221,across,3,3,0,0,0
HSR33,11,7,14,11,cue17,incorrect,28.5289901,47.8,2.711366599,0.844,within,1,2,0,0,0
