1,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR12,6,3,6,9,cue21,correct,1.307622191,43,-1.308088904,4.39300013,within,1,2,1,1,1
HSR12,6,4,9,2,cue9,correct,0.820830194,99.7,5.401506396,4.46599984,across,3,4,1,1,1
HSR12,6,5,2,4,cue4,correct,1.969842145,42.1,-1.969807856,5.94000006,within,1,2,1,1,1
HSR12,6,6,4,7,cue7,correct,1.84181875,41.7,5.709790577,10.79999995,across,2,2,1,1,1
HSR12,6,7,7,12,cue13,correct,2.964549361,29.9,0.101846926,5.35500002,across,2,2,1,1,1
HSR12,6,8,12,15,cue15,correct,0.140857885,49.9,0.140875006,6.06000018,within,1,2,1,1,1
HSR12,6,9,15,12,cue13,correct,1.959091236,47.8,-1.959124994,5.70000005,within,1,2,1,1,1
HSR12,6,10,12,14,cue6,correct,0.348137767,47.4,0.348068674,5.34800005,within,1,2,1,1,1
HSR13,5,1,6,8,cue20,tooLong,3.103680838,89.7,43.50042487,2.28,within,1,2,1,0,1
HSR13,5,2,8,3,cue9,incorrect,43.67764858,109.2,66.2533362,1.876,across,3,2,0,0,0
HSR13,5,3,3,1,cue13,tooLong,1.300511279,64.6,18.42221058,4.654,within,1,2,1,0,1
HSR13,5,4,1,11,cue4,incorrect,4.00894634,90.1,20.65736609,7.98,across,3,3,0,0,1
HSR13,5,5,11,14,cue11,correct,0.845240135,41.4,-0.845293702,3.98,within,1,2,1,1,1
HSR13,5,6,14,5,cue7,incorrect,56.57130701,109.9,37.7356121,2.223,across,2,3,0,0,0
HSR13,5,7,5,12,cue22,correct,3.434134686,56.4,2.049524905,1.29,across,2,3,1,1,1
HSR13,5,8,12,4,cue14,correct,3.123988358,34.9,2.648567359,2.25,across,2,2,1,1,1
HSR13,5,9,4,7,cue3,correct,3.157266923,26.7,1.350842393,2.12,across,2,2,1,1,1
HSR13,5,10,7,10,cue10,tooLong,3.731368974,65.6,22.85543444,1.629,within,1,2,1,0,1
HSR13,6,1,10,13,cue19,incorrect,6.351536573,103.7,34.77967546,3.58,across,3,3,1,0,1
HSR13,6,2,13,15,cue2,tooLong,0.175826903,67.4,22.89689496,1.77,within,1,2,1,0,1
HSR13,6,3,15,6,cue16,correct,2.577750057,69,-2.582900207,4.64,across,2,3,1,1,1
HSR13,6,4,6,9,cue21,correct,0.128756738,40.6,0.128761078,1.77,within,1,2,1,1,1
HSR13,6,5,9,2,cue17,tooLong,0.997819426,111.6,19.5224484,6.02,across,3,4,0,0,1
